Name,Location,Latitude,Longitude
AGGH,Honiara / Henderson,-9.416,160.05
AGGL,Santa Cruz,-10.7,165.8
AGGM,Munda,-8.333,157.266
ANAU,Nauru Airport,-0.533,166.916
AYMD,Madang,-5.216,145.783
AYMO,Manus Island/Momote,-2.061,147.424
AYPY,Moresby,-9.433,147.216
AYWK,Wewak,-3.566,143.633
BGAM,Tasiilaq,65.6,-37.633
BGAS,Angisoq,59.983,-45.2
BGAT,Aputiteeq,67.783,-32.3
BGBW,Narsarsuaq,61.166,-45.416
BGCO,Constable Pynt,70.75,-22.65
BGDB,Daneborg,74.3,-20.216
BGDH,Danmarkshavn,76.766,-18.666
BGEM,Egedesminde,68.7,-52.75
BGFH,Frederikshaab,62.0,-49.666
BGGD,Groennedal,61.233,-48.1
BGGH,Godthaab / Nuuk,64.166,-51.75
BGHB,Holsteinsborg,66.916,-53.666
BGJH,Julianehaab,60.716,-46.05
BGJN,Jacobshavn Lufthavn,69.233,-51.066
BGKK,Kulusuk Lufthavn,65.583,-37.15
BGKT,Cape Tobin Automated Reporting Station,70.416,-21.966
BGPC,Prins Christian Sund,60.05,-43.166
BGSC,Scoresbysund,70.483,-21.95
BGSF,Sdr Stroemfjord,67.016,-50.7
BGTL,Thule A. B.,76.533,-68.75
BIAR,Akureyri,65.683,-18.083
BIEG,Egilsstadir,65.283,-14.4
BIGR,Grimsey,66.533,-18.016
BIHN,Akurnes,64.3,-15.216
BIKF,Keflavikurflugvollur,63.966,-22.6
BIRG,Raufarhofn,66.45,-15.95
BIRK,Reykjavik,64.133,-21.9
BIST,Stykkisholmur,65.083,-22.733
BIVM,Vestmannaeyjar,63.4,-20.283
BIVO,Skjaldthingsstadir,65.7,-14.816
BIX1,"Biloxi, Keesler Air Force Base, Navu",30.401,-88.917
BIX2,"Biloxi, Keesler Air Force Base, Navu",30.409,-88.918
BIX3,"Biloxi, Keesler Air Force Base, Navu",30.410,-88.919
CTPP,Camp Canargus,18.566,-72.316
CWAC,Nitinat Lake Meteorological Aeronautical Presentation System,48.666,-124.833
CWAD,Cape Mudge Light House,50.0,-125.2
CWAE,Whistler,50.133,-122.95
CWAF,Ile Rouge Meteorological Aeronautical Presentation System,48.083,-69.55
CWAG,"La Scie, Nfld.",49.916,-55.666
CWAH,"Amherst, N. S.",45.85,-64.266
CWAJ,Erieau Meteorological Aeronautical Presentation System,42.25,-81.9
CWAN,Amphitrite Point,48.916,-125.55
CWAQ,Coronach Spc,49.05,-105.483
CWAR,"Argentia, Nfld",47.3,-54.0
CWAS,Pam Rocks,49.483,-123.3
CWAU,Dryad Point Light House,52.183,-128.116
CWAV,Sundre,51.766,-114.683
CWAX,"St. Anthony, Nfld.",51.366,-55.633
CWBA,"Banff, Alta.",51.183,-115.566
CWBE,Killarney Meteorological Aeronautical Presentation System,45.966,-81.483
CWBF,Burgeo Automated Reporting Station,47.616,-57.633
CWBG,Big Creek,51.25,-123.083
CWBI,"Britt, Ont.",45.8,-80.533
CWBJ,Inner Whalebacks,61.916,-113.733
CWBK,Caribou Point Meteorological Aeronautical Presentation System,45.766,-62.683
CWBL,Bachelors Island Automated Reporting Station,51.75,-99.9
CWBM,Beaverlodge,55.2,-119.4
CWBO,Brooks Automatic Weather Reporting System,50.55,-111.85
CWBR,"B, R",66.033,-91.833
CWBT,"Longue Point De Mingan, Que.",50.266,-64.233
CWBV,"Beaven Island, N. S.",44.816,-62.333
CWBY,"Port Menier, Que.",49.833,-64.3
CWBZ,St Anicet,45.116,-74.283
CWCA,"Cartwright, Nfld.",53.7,-57.033
CWCB,Nanakwa Shoals,53.816,-128.833
CWCD,Saskatoon Kernen,52.15,-106.55
CWCF,"Berens River CS , Man.",52.35,-97.033
CWCH,Atikokan Automated Reporting Station,48.75,-91.616
CWCI,"Caribou Island, Ont.",47.333,-85.833
CWCJ,Pukaskwa,48.6,-86.3
CWCL,"Clinton, B. C.",51.15,-121.5
CWCM,Carberry Mcdc,49.9,-99.35
CWCN,Malloch Dome Automatic Weather Reporting System,78.216,-101.05
CWCO,Collingwood Automatic Weather Reporting System,44.5,-80.216
CWCQ,Chatham Automatic Weather Reporting System,47.0,-65.466
CWCS,Cote-Ste-Cath Mot,45.416,-73.566
CWCT,Coronation Automated Reporting Station,52.066,-111.466
CWCU,"Barrie, Ont.",44.383,-79.783
CWCV,"Nootka Lightstation, B. C.",49.6,-126.616
CWCX,Clut Lake Automated Reporting Station,66.0,-117.766
CWCZ,"Addenbrooke Island Light, B. C.",51.6,-127.866
CWDA,Englee Meteorological Aeronautical Presentation System,50.716,-56.116
CWDB,Burwash Automatic Weather Reporting System,61.366,-139.05
CWDC,"Uranium City, Sask.",59.566,-108.483
CWDD,"Belle River, Ont.",42.3,-82.7
CWDE,Lac Benoit,51.55,-71.116
CWDF,Oliphant \ Ont,44.733,-81.283
CWDH,"Daniel's Harbour, Nfld",50.233,-57.583
CWDI,"Badger, Nfld",48.966,-56.066
CWDJ,Regina University,50.4,-104.583
CWDK,Claresholm Automatic Weather Reporting System,50.016,-113.633
CWDL,Dease Lake B. C.,58.416,-130.0
CWDM,"Chevery, Que.",50.466,-59.633
CWDN,Wasaga Beach Automatic Weather Reporting System,44.516,-80.016
CWDO,Twillingate Meteorological Aeronautical Presentation System,49.683,-54.8
CWDP,Manouane-Est Automated Reporting Station,50.666,-70.533
CWDQ,La Tuque,47.416,-72.8
CWDS,"St. Lawrence, Nfld.",46.916,-55.383
