Name,Location,Latitude,Longitude
KABR,ABERDEEN,45.456,-98.413
KABX,ALBUQUERQUE,35.15,-106.824
KAKQ,NORFOLK/RICH,36.984,-77.007
KAMA,AMARILLO,35.233,-101.709
KAMX,MIAMI,25.611,-80.413
KAPX,GAYLORD,44.907,-84.72
KARX,LA CROSSE,43.823,-91.191
KATX,SEATTLE,48.194,-122.496
KBBX,BEALE AFB,39.496,-121.632
KBGM,BINGHAMTON,42.2,-75.985
KBHX,EUREKA,40.498,-124.292
KBIS,BISMARCK,46.771,-100.761
KBIX,KEESLER AFB,30.524,-88.985
KBLX,BILLINGS,45.854,-108.607
KBMX,BIRMINGHAM,33.172,-86.77
KBOX,BOSTON,41.956,-71.137
KBRO,BROWNSVILLE,25.916,-97.419
KBUF,BUFFALO,42.949,-78.737
KBYX,KEY WEST,24.598,-81.703
KCAE,COLUMBIA,33.949,-81.118
KCBW,HOULTON,46.039,-67.806
KCBX,BOISE,43.491,-116.236
KCCX,STATE COLLEGE,40.923,-78.004
KCLE,CLEVELAND,41.413,-81.86
KCLX,CHARLESTON,32.656,-81.042
KCRI,NORMAN,35.238,-97.46
KCRP,CORP CHRISTI,27.784,-97.511
KCXX,BURLINGTON,44.511,-73.167
KCYS,CHEYENNE,41.152,-104.806
KDAX,SACRAMENTO,38.501,-121.678
KDDC,DODGE CITY,37.761,-99.969
KDFX,LAUGHLIN AFB,29.273,-100.281
KDGX,JACKSON/BRAN.,32.28,-89.984
KDIX,PHILADELPHIA,39.947,-74.411
KDLH,DULUTH,46.837,-92.21
KDMX,DES MOINES,41.731,-93.723
KDOX,DOVER AFB,38.826,-75.44
KDTX,DETROIT,42.7,-83.472
KDVN,DAVENPORT,41.612,-90.581
KDYX,DYESS AFB,32.538,-99.254
KEAX,KANSAS CITY,38.81,-94.264
KEMX,TUCSON,31.894,-110.63
KENX,ALBANY,42.586,-74.064
KEOX,FORT RUCKER,31.461,-85.459
KEPZ,EL PASO,31.873,-106.698
KESX,LAS VEGAS,35.701,-114.891
KEVX,EGLIN AFB,30.564,-85.921
KEWX,AUSTIN/S ANT,29.704,-98.028
KEYX,EDWARDS AFB,35.098,-117.561
KFCX,ROANOKE,37.024,-80.274
KFDR,ALTUS AFB,34.362,-98.976
KFDX,CANNON AFB,34.635,-103.63
KFFC,ATLANTA,33.364,-84.566
KFSD,SIOUX FALLS,43.588,-96.729
KFSX,FLAGSTAFF,34.574,-111.198
KFTG,DENVER,39.787,-104.546
KFWS,DALLAS/FTW,32.573,-97.303
KGGW,GLASGOW,48.206,-106.625
KGJX,GRAND JUNCT,39.062,-108.214
KGLD,GOODLAND,39.367,-101.7
KGRB,GREEN BAY,44.498,-88.111
KGRK,FORT HOOD,30.722,-97.383
KGRR,GRAND RAPIDS,42.894,-85.545
KGSP,GREER,34.883,-82.22
KGWX,COLUMBUS AFB,33.897,-88.329
KGYX,PORTLAND,43.891,-70.256
KHDX,HOLLOMAN AFB,33.076,-106.123
KHGX,HOUSTON,29.472,-95.079
KHNX,SAN JOAQUIN V,36.314,-119.632
KHPX,FORT CAMPBELL,36.737,-87.285
KHTX,HUNTSVILLE,34.931,-86.083
KICT,WICHITA,37.655,-97.443
KICX,CEDAR CITY,37.591,-112.862
KILN,CINCINNATI,39.42,-83.822
KILX,LINCOLN,40.151,-89.337
KIND,INDIANAPOLIS,39.708,-86.28
KINX,TULSA,36.175,-95.565
KIWA,PHOENIX,33.289,-111.67
KIWX,FORT WAYNE,41.359,-85.7
KJAN,JACKSON,32.318,-90.08
KJAX,JACKSONVILLE,30.485,-81.702
KJGX,ROBINS AFB,32.675,-83.351
KJKL,JACKSON,37.591,-83.313
KLBB,LUBBOCK,33.654,-101.814
KLCH,LAKE CHARLES,30.125,-93.216
KLIX,NEW ORLEANS,30.337,-89.826
KLNX,NORTH PLATTE,41.958,-100.576
KLOT,CHICAGO,41.605,-88.085
KLRX,ELKO,40.74,-116.803
KLSX,ST LOUIS,38.699,-90.683
KLTX,WILMINGTON,33.989,-78.429
KLVX,LOUISVILLE,37.975,-85.944
KLWX,STERLING,38.975,-77.478
KLZK,LITTLE ROCK,34.836,-92.262
KMAF,MIDLAND/ODSSA,31.943,-102.189
KMAX,MEDFORD,42.081,-122.717
KMBX,MINOT AFB,48.393,-100.865
KMHX,MOREHEAD CITY,34.776,-76.876
KMKX,MILWAUKEE,42.968,-88.551
KMLB,MELBOURNE,28.113,-80.654
KMOB,MOBILE,30.679,-88.24
KMPX,MINNEAPOLIS,44.849,-93.566
KMQT,MARQUETTE,46.531,-87.548
KMRX,KNOXVILLE,36.169,-83.402
KMSX,MISSOULA,47.041,-113.986
KMTX,SALT LAKE CTY,41.263,-112.448
KMUX,SAN FRANCISCO,37.155,-121.898
KMVX,GRAND FORKS,47.528,-97.326
KMXX,MAXWELL AFB,32.537,-85.79
KNKX,SAN DIEGO,32.919,-117.042
KNQA,MEMPHIS,35.345,-89.873
KOAX,OMAHA,41.32,-96.367
KOHX,NASHVILLE,36.247,-86.563
KOKX,NEW YORK CITY,40.866,-72.864
KOTX,SPOKANE,47.68,-117.627
KPAH,PADUCAH,37.068,-88.772
KPBZ,PITTSBURGH,40.532,-80.218
KPDT,PENDLETON,45.691,-118.853
KPOE,FORT POLK,31.156,-92.976
KPUX,PUEBLO,38.459,-104.181
KRAX,RALEIGH/DUR,35.666,-78.49
KRGX,RENO,39.754,-119.462
KRIW,RIVERTON,43.066,-108.477
KRLX,CHARLESTON,38.311,-81.723
KRMX,GRIFFISS AFB,43.468,-75.458
KRTX,PORTLAND,45.715,-122.965
KSFX,POCATELLO,43.106,-112.686
KSGF,SPRINGFIELD,37.235,-93.401
KSHV,SHREVEPORT,32.451,-93.841
KSJT,SAN ANGELO,31.371,-100.493
KSOX,SANTA ANA MT,33.818,-117.636
KSRX,FORT SMITH,35.291,-94.362
KTBW,TAMPA,27.706,-82.402
KTFX,GREAT FALLS,47.46,-111.385
KTLH,TALLAHASSEE,30.398,-84.329
KTLX,OKLAHOMA CITY,35.333,-97.278
KTWX,TOPEKA,38.997,-96.233
KTYX,FORT DRUM,43.756,-75.68
KUDX,RAPID CITY,44.125,-102.83
KUEX,HASTINGS,40.321,-98.442
KVAX,MOODY AFB,30.89,-83.002
KVBX,VANDENBRG AFB,34.838,-120.397
KVNX,VANCE AFB,36.741,-98.128
KVTX,LOS ANGELES,34.412,-119.179
KVWX,EVANSVILLE,38.2666,-87.7166
KYUX,YUMA,32.495,-114.657
LPLA,LAJES AB,38.73,-27.322
PABC,BETHEL,60.792,-161.876
PACG,SITKA,56.853,-135.529
PAEC,NOME,64.511,-165.295
PAHG,ANCHORAGE,60.726,-151.351
PAIH,MIDDLETON IS,59.461,-146.303
PAKC,KING SALMON,58.679,-156.629
PAPD,FAIRBANKS,65.035,-147.502
PGUA,ANDERSEN AFB,13.454,144.808
PHKI,SOUTH KAUAI,21.894,-159.552
PHKM,KAMUELA,20.126,-155.778
PHMO,MOLOKAI,21.133,-157.18
PHWA,SOUTH SHORE,19.095,-155.569
RKJK,KUNSAN,35.924,126.622
RKSG,CMP HUMPHRYS,36.956,127.021
RODN,KADENA,26.302,127.91
TJUA,SAN JUAN,18.116,-66.078
