Zone,Zone_Name,County,Latitude,Longitude
AK017,Cape Fairweather to Cape Suckling Coastal Area,Yakutat,59.9186,-140.5769
AK018,Taiya Inlet and Klondike Highway,Skagway-Hoonah-Angoon,59.5601,-135.3379
AK019,Haines Borough and Lynn Canal,Juneau,59.0942,-135.4295
AK020,Glacier Bay,Skagway-Hoonah-Angoon,58.7895,-136.3767
AK021,Eastern Chichagof Island,Skagway-Hoonah-Angoon,57.8952,-135.4475
AK022,Salisbury Sound to Cape Fairweather Coastal Area,Skagway-Hoonah-Angoon,58.1518,-136.5895
AK023,Cape Decision to Salisbury Sound Coastal Area,Sitka,56.9012,-135.1575
AK024,Eastern Baranof Island and Southern Admiralty Island,Skagway-Hoonah-Angoon,57.3045,-134.5992
AK025,Juneau Borough and Northern Admiralty Island,Wrangell-Petersburg,58.0224,-133.7989
AK026,Inner Channels from Kupreanof Island to Etolin Island,Wrangell-Petersburg,56.5997,-132.981
AK027,Dixon Entrance to Cape Decision Coastal Area,Wrangell-Petersburg,55.2951,-133.0075
AK028,Southern Inner Channels,Wrangell-Petersburg,55.5399,-132.0549
AK029,Misty Fjords,Wrangell-Petersburg,55.7461,-130.8022
AK101,Anchorage,Anchorage,61.1948,-149.5182
AK111,Matanuska Valley,Matanuska-Susitna,61.5885,-149.1656
AK121,Western Kenai Peninsula,Kenai Peninsula,60.3254,-150.709
AK125,Western Prince William Sound,Valdez-Cordova,60.3983,-148.9941
AK131,Northeast Prince William Sound,Valdez-Cordova,61.17,-146.5112
AK135,Southeast Prince William Sound,Valdez-Cordova,60.5931,-145.2475
AK141,Copper River Basin,Valdez-Cordova,61.902,-144.9312
AK145,Susitna Valley,Matanuska-Susitna,62.122,-150.6874
AK152,Lower Kuskokwim Valley,Yukon-Koyukuk,61.5198,-156.3169
AK155,Kuskokwim Delta,Wade Hampton,60.6713,-162.8471
AK161,Bristol Bay,Kenai Peninsula,59.2984,-157.2451
AK171,Kodiak Island,Kenai Peninsula,58.2911,-154.1629
AK181,Alaska Peninsula,Lake and Peninsula,55.6096,-161.2029
AK185,Eastern Aleutians,Aleutians West,53.6105,-167.1813
AK187,Central Aleutians,Aleutians West,52.0877,-174.8314
AK191,Western Aleutians,Aleutians West,52.2834,133.0159
AK195,Pribilof Islands,Aleutians West,56.9092,-169.979
AK201,Western Arctic Coast,North Slope,70.0813,-160.3323
AK202,Northern Arctic Coast,North Slope,70.6873,-155.3712
AK203,Central Beaufort Sea Coast,North Slope,70.2069,-149.5616
AK204,Eastern Beaufort Sea Coast,North Slope,69.8866,-143.7831
AK205,Northwestern Brooks Range,Northwest Arctic,69.2115,-157.3
AK206,Northeastern Brooks Range,North Slope,69.0427,-148.2525
AK207,Chukchi Sea Coast,Northwest Arctic,66.8027,-165.286
AK208,Lower Kobuk and Noatak Valleys,Northwest Arctic,67.8186,-162.214
AK209,Baldwin Peninsula and Selawik Valley,Northwest Arctic,66.6468,-160.8657
AK210,Northern and Interior Seward Peninsula,Northwest Arctic,65.4916,-162.5763
AK211,Southern Seward Peninsula Coast,Nome,64.6146,-164.4924
AK212,Eastern Norton Sound and Nulato Hills,Nome,63.9319,-161.0572
AK213,St Lawrence Island and Bering Strait Coast,Nome,64.5057,-168.3102
AK214,Yukon Delta,Wade Hampton,62.1753,-163.9603
AK215,Lower Yukon Valley,Nome,62.6677,-159.7257
AK216,Lower Koyukuk and Middle Yukon Valleys,Northwest Arctic,64.7408,-156.605
AK217,Upper Kobuk and Noatak Valleys,Northwest Arctic,67.3545,-157.2832
AK218,Southeastern Brooks Range,Northwest Arctic,67.8926,-146.8934
AK219,Upper Koyukuk Valley,Northwest Arctic,66.3788,-152.5178
AK220,Yukon Flats and Surrounding Uplands,Yukon-Koyukuk,66.4063,-145.5753
AK221,Central Interior,Yukon-Koyukuk,64.7065,-151.4866
AK222,Middle Tanana Valley,Yukon-Koyukuk,64.9934,-147.348
AK223,Deltana and Tanana Flats,Yukon-Koyukuk,64.2155,-146.6153
AK224,Upper Tanana Valley and the Fortymile Country,Valdez-Cordova,64.409,-142.878
AK225,Denali,Denali,63.5852,-150.0989
AK226,Eastern Alaska Range,Valdez-Cordova,63.0805,-144.4681
AK227,Upper Kuskokwim Valley,Yukon-Koyukuk,62.9842,-154.2532
AL001,Lauderdale,Lauderdale,34.9015,-87.6544
AL002,Colbert,Colbert,34.7005,-87.8049
AL003,Franklin,Franklin,34.4417,-87.8438
AL004,Lawrence,Lawrence,34.522,-87.311
AL005,Limestone,Limestone,34.8101,-86.9813
AL006,Madison,Madison,34.7631,-86.5502
AL007,Morgan,Morgan,34.4535,-86.8529
AL008,Marshall,Marshall,34.3669,-86.3066
AL009,Jackson,Jackson,34.7794,-85.9993
AL010,De Kalb,DeKalb,34.4598,-85.8041
AL011,Marion,Marion,34.1366,-87.8871
AL012,Lamar,Lamar,33.7792,-88.0969
AL013,Fayette,Fayette,33.7212,-87.7389
AL014,Winston,Winston,34.1492,-87.3737
AL015,Walker,Walker,33.8034,-87.2973
AL016,Cullman,Cullman,34.132,-86.8676
AL017,Blount,Blount,33.9809,-86.5674
AL018,Etowah,Etowah,34.0453,-86.0348
AL019,Calhoun,Calhoun,33.7714,-85.8261
AL020,Cherokee,Cherokee,34.176,-85.6038
AL021,Cleburne,Cleburne,33.6745,-85.5188
AL022,Pickens,Pickens,33.2809,-88.0887
AL023,Tuscaloosa,Tuscaloosa,33.2895,-87.525
AL024,Jefferson,Jefferson,33.5543,-86.8965
AL025,Shelby,Shelby,33.2643,-86.6607
AL026,St. Clair,St. Clair,33.7157,-86.3147
AL027,Talladega,Talladega,33.38,-86.1659
AL028,Clay,Clay,33.2691,-85.8605
AL029,Randolph,Randolph,33.2938,-85.4591
AL030,Sumter,Sumter,32.591,-88.1988
AL031,Greene,Greene,32.8531,-87.9522
AL032,Hale,Hale,32.7627,-87.6291
AL033,Perry,Perry,32.6385,-87.2942
AL034,Bibb,Bibb,32.9986,-87.1264
AL035,Chilton,Chilton,32.8479,-86.7188
AL036,Coosa,Coosa,32.9362,-86.2476
AL037,Tallapoosa,Tallapoosa,32.8624,-85.7975
AL038,Chambers,Chambers,32.9144,-85.392
AL039,Marengo,Marengo,32.2476,-87.7895
AL040,Dallas,Dallas,32.3258,-87.1065
AL041,Autauga,Autauga,32.5349,-86.6428
AL042,Lowndes,Lowndes,32.1547,-86.6501
AL043,Elmore,Elmore,32.5966,-86.1492
AL044,Montgomery,Montgomery,32.2202,-86.2076
AL045,Macon,Macon,32.386,-85.6926
AL046,Bullock,Bullock,32.1005,-85.7161
AL047,Lee,Lee,32.6012,-85.3556
AL048,Russell,Russell,32.2884,-85.1849
AL049,Pike,Pike,31.8024,-85.9409
AL050,Barbour,Barbour,31.8696,-85.3932
AL051,Choctaw,Choctaw,32.0192,-88.2628
AL052,Washington,Washington,31.4077,-88.2071
AL053,Clarke,Clarke,31.6709,-87.8309
AL054,Wilcox,Wilcox,31.9892,-87.3082
AL055,Monroe,Monroe,31.5706,-87.3658
AL056,Conecuh,Conecuh,31.4293,-86.9936
AL057,Butler,Butler,31.7524,-86.6803
AL058,Crenshaw,Crenshaw,31.7315,-86.3136
AL059,Escambia,Escambia,31.1262,-87.1616
AL060,Covington,Covington,31.2485,-86.4512
AL061,Upper Mobile,Mobile,30.9237,-88.185
AL062,Upper Baldwin,Baldwin,30.9471,-87.7615
AL063,Lower Mobile,Mobile,30.5283,-88.2363
AL064,Lower Baldwin,Baldwin,30.494,-87.6699
AL065,Coffee,Coffee,31.4026,-85.9882
AL066,Dale,Dale,31.4318,-85.611
AL067,Henry,Henry,31.5147,-85.2414
AL068,Geneva,Geneva,31.095,-85.839
AL069,Houston,Houston,31.1532,-85.3025
AR001,Benton,Benton,36.3392,-94.2573
AR002,Carroll,Carroll,36.341,-93.5382
AR003,Boone,Boone,36.3086,-93.0915
AR004,Marion,Marion,36.2684,-92.6842
